Datum : 	05.12.2013
Durchmesser :	69,3
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	34,073242	-1,0779297	-1,0292269	0	-0,00013709068	-1,5667329e-05	-1,2785196e-05	-4,5198947e-05	1,0982156e-05	-0,023946587	-4,3090986e-05	3,6520883e-05	-5,3817406e-05
41613	34,172852	-1,2671875	-1,0473728	0	1,3411045e-05	-1,6124299e-05	-1,2993813e-05	-5,8449805e-06	-2,9534101e-05	-0,023993162	-6,9817557e-05	-3,8234051e-05	-9,4199553e-05
41613	34,272461	-1,4564453	-1,0902863	0	-0,00016819686	-2,5020292e-05	-1,3373792e-05	-6,6857785e-05	5,1707029e-06	-0,023990206	-8,8644287e-05	-5,6947116e-05	-0,0001171492
41613	34,37207	-1,6457031	-1,1732876	0	-0,00081025064	-5,9893977e-05	-2,2269785e-05	-0,0001389645	-1,8447638e-05	-0,024007589	-8,3997133e-05	-0,00019177282	-0,00015403144
41613	34,47168	-1,8349609	-1,3014208	0	-0,0018762425	-0,00017663836	-5,312264e-05	-0,00041547418	-6,1318278e-05	-0,024083648	-0,00012543517	-0,00034525758	-0,00026834384
41613	34,571289	-2,0242188	-1,4784858	0	-0,0034274533	-0,00051746517	-3,5963953e-05	-0,0012538582	-0,00026257336	-0,02411936	-0,00014120429	-0,00048057782	-0,00035755895
41613	34,670898	-2,2134767	-1,7255135	0	-0,0048486516	-0,0010899939	-6,980449e-05	-0,0024998225	-0,00070035458	-0,024238974	-0,00023459362	-0,00066736387	-0,00054620765
41613	34,770508	-2,4027343	-2,0005052	0	-0,0067641959	-0,0017468097	-0,00012388825	-0,0038549788	-0,0012615621	-0,024352156	-0,00034753134	-0,00096809352	-0,00074644759
41613	34,870117	-2,5919921	-2,284646	0	-0,0084286556	-0,0024522033	-0,00021643192	-0,0053087808	-0,0018313974	-0,024470018	-0,00047156803	-0,0011338564	-0,00091931783
