Datum : 	05.12.2013
Durchmesser :	69,3
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	30,77832	-1,0742188	-1,0072105	0	-0,00056792051	-5,1125485e-06	-8,8407396e-06	6,0796738e-06	-1,257658e-05	-0,023857644	7,4652024e-05	-6,0237944e-05	6,1145052e-05
41613	30,87793	-1,2634766	-1,0594447	0	-0,001071021	-3,1426309e-05	-3,5002111e-05	-5,120039e-05	-8,0764294e-06	-0,023930451	-1,0466902e-06	-0,00012500584	-2,5257468e-06
41613	30,977539	-1,4527344	-1,1395868	0	-0,0014862046	-7,9563579e-05	-4,0535091e-05	-0,00014227629	-5,5879354e-05	-0,023946062	-0,00010587962	-9,9763274e-05	-5,0872564e-05
41613	31,077148	-1,6419922	-1,3193041	0	-0,0026853755	-0,00054116553	-0,00034917914	-0,00077199936	-0,00050231814	-0,023987418	-0,00010212127	-0,00022410601	-0,00021310896
41613	31,176758	-1,83125	-1,5187505	0	-0,0043008476	-0,001334861	-0,0011043106	-0,0017761588	-0,0011241138	-0,02403648	-0,00017289328	-0,0003111288	-0,00034392811
41613	31,276367	-2,0205078	-1,7498136	0	-0,0060712919	-0,0023069913	-0,0021227999	-0,0028489232	-0,0019492507	-0,024068857	-0,00031072553	-0,00038390607	-0,00046199188
41613	31,375977	-2,2097657	-1,9908398	0	-0,0077374279	-0,0034828195	-0,0032713141	-0,0041087866	-0,0030683577	-0,024194565	-0,00046845875	-0,00056757778	-0,00060383789
41613	31,475586	-2,3990235	-2,209058	0	-0,0094145536	-0,0045945621	-0,0043661222	-0,0053013563	-0,0041162074	-0,024284547	-0,0006226562	-0,00060681999	-0,00068291463
41613	31,575195	-2,5882812	-2,3915713	0	-0,011348538	-0,0055353097	-0,0052073156	-0,0064297915	-0,004968822	-0,024309168	-0,0006649422	-0,00073559582	-0,00083642453
41613	31,674805	-2,777539	-2,6366451	0	-0,0127865	-0,006756634	-0,0062482376	-0,0077467561	-0,0062749088	-0,024448203	-0,00080971932	-0,00083760172	-0,00099456683
41613	31,774414	-2,9667969	-2,8411076	0	-0,01444146	-0,007546043	-0,0069348682	-0,0086940527	-0,0070092082	-0,024519525	-0,00095826387	-0,00096781552	-0,0010994971
41613	31,874023	-3,1560547	-2,9953346	0	-0,015768036	-0,008468112	-0,0076782121	-0,0097979903	-0,007928133	-0,024571333	-0,0010194394	-0,0010562986	-0,0011678096
41613	31,973633	-3,3453124	-3,188746	0	-0,016917475	-0,0093912082	-0,0084497016	-0,010756373	-0,0089675486	-0,024606753	-0,0010543182	-0,0011865869	-0,0012606662
41613	32,073242	-3,5345702	-3,4109409	0	-0,018565916	-0,010429231	-0,0093045477	-0,011884272	-0,010098875	-0,02469264	-0,0012169087	-0,0012686551	-0,0013799481
41613	32,172852	-3,7238281	-3,621649	0	-0,020244718	-0,011483498	-0,010159814	-0,013100207	-0,011190474	-0,024763506	-0,001255824	-0,0014576912	-0,0014958475
41613	32,272461	-3,9130859	-3,7725921	0	-0,021676533	-0,012403719	-0,010946459	-0,014132679	-0,012132019	-0,024834622	-0,0013947769	-0,0015316159	-0,0015300028
41613	32,37207	-4,1023436	-3,8490109	0	-0,022423267	-0,012892723	-0,011330039	-0,014673591	-0,01267454	-0,024857905	-0,0015046501	-0,0015338734	-0,0015359055
41613	32,47168	-4,2916017	-3,9153881	0	-0,023332424	-0,013345778	-0,011617453	-0,015292704	-0,013127178	-0,024917793	-0,001536058	-0,0015699267	-0,0015465189
41613	32,571289	-4,4808593	-3,9075055	0	-0,023285113	-0,013513613	-0,011717107	-0,015485883	-0,013337851	-0,024888588	-0,0015046019	-0,0015671104	-0,0015499946
41613	32,670898	-4,6701174	-3,8971622	0	-0,023496523	-0,013618614	-0,011736051	-0,01566565	-0,013454139	-0,024875766	-0,0014929103	-0,0015721694	-0,0015305225
41613	32,770508	-4,859375	-3,8869343	0	-0,023731589	-0,013693195	-0,011764619	-0,0158059	-0,013509065	-0,024917636	-0,001557823	-0,0016271994	-0,0015663002
41613	32,870117	-5,0486326	-3,9290934	0	-0,023796596	-0,01377419	-0,011785608	-0,015873671	-0,013663292	-0,024916584	-0,0015206637	-0,0016460195	-0,0015834868
41613	32,969727	-5,2378907	-4,0607491	0	-0,024380535	-0,014034691	-0,011938968	-0,016194046	-0,013971061	-0,02493846	-0,0016219148	-0,0016704947	-0,0016205423
41613	33,069336	-5,4271483	-4,1893644	0	-0,025420077	-0,014563812	-0,012313406	-0,016826212	-0,014551818	-0,025004549	-0,0017685287	-0,0017128959	-0,0017206781
41613	33,168945	-5,616406	-4,5662746	0	-0,027908199	-0,015855031	-0,013383796	-0,018090367	-0,01609093	-0,025144808	-0,0019118418	-0,0019797683	-0,0019018184
41613	33,268555	-5,8056641	-4,9880614	0	-0,0307329	-0,017541666	-0,014827965	-0,019831777	-0,017965257	-0,025282573	-0,0021749109	-0,0021430776	-0,0020942632
41613	33,368164	-5,9949217	-5,7447867	0	-0,034786761	-0,020489512	-0,017513925	-0,022731006	-0,021223605	-0,025617739	-0,0025950756	-0,0025442094	-0,0025448389
41613	33,467773	-6,1841798	-6,344254	0	-0,038481131	-0,023042331	-0,019890159	-0,02534461	-0,023892224	-0,02581848	-0,0029340156	-0,0029357895	-0,0027955044
41613	33,567383	-6,3734374	-6,6828375	0	-0,04085321	-0,02461051	-0,021230044	-0,027011871	-0,025589615	-0,026002826	-0,0032042495	-0,0032394007	-0,002965156
41613	33,666992	-6,562695	-6,9233871	0	-0,042862073	-0,025702665	-0,022138475	-0,028225899	-0,026743621	-0,026103942	-0,0033425407	-0,0033600554	-0,0030530319
41613	33,766602	-6,7519531	-7,0917177	0	-0,043911114	-0,026579838	-0,022840861	-0,029223919	-0,027674735	-0,026198568	-0,0034790749	-0,0034146458	-0,0031461176
41613	33,866211	-6,9412107	-7,2853713	0	-0,044835359	-0,027434494	-0,0236079	-0,030166924	-0,028528661	-0,026182482	-0,0035663892	-0,0034209341	-0,0032071788
41613	33,96582	-7,1304688	-7,4256363	0	-0,046560355	-0,028086992	-0,024183873	-0,03085202	-0,029225081	-0,026306534	-0,0037163163	-0,0036294907	-0,003277557
41613	34,06543	-7,3197265	-7,5648575	0	-0,047362223	-0,028726477	-0,024687855	-0,031619906	-0,029871672	-0,026367085	-0,0038105843	-0,0036999807	-0,003326321
41613	34,165039	-7,5089841	-7,6735802	0	-0,048373081	-0,029364642	-0,025258232	-0,032349825	-0,030485868	-0,026423173	-0,0038831669	-0,003749907	-0,0032996722
41613	34,264648	-7,6982422	-7,8636184	0	-0,049396046	-0,030083777	-0,025945224	-0,033072948	-0,031233162	-0,026484547	-0,0039389469	-0,0038973913	-0,0033791848
41613	34,364258	-7,8874998	-7,9426198	0	-0,050138868	-0,030737787	-0,026572676	-0,033764601	-0,031876087	-0,026522206	-0,0039787795	-0,0039830655	-0,0034040902
41613	34,463867	-8,0767574	-8,1291904	0	-0,051308423	-0,031404167	-0,027190326	-0,034441888	-0,032580286	-0,026596176	-0,0041630687	-0,0040909797	-0,003445778
41613	34,563477	-8,266016	-8,3332987	0	-0,052309223	-0,032275792	-0,028038014	-0,035312772	-0,033476591	-0,026697291	-0,0042530624	-0,004220292	-0,0035379473
