Datum : 	05.12.2013
Durchmesser :	69,3
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	28,024414	-1,0779297	-0,9135958	0	8,4284693e-05	-9,8333358e-06	4,8112867e-07	-4,8041344e-05	1,8060207e-05	-0,023811033	-5,3808093e-05	5,8829784e-05	-2,168119e-05
41613	28,124023	-1,2671875	-0,88964403	0	3,259629e-05	9,3366725e-07	-1,3411462e-05	-2,5749207e-05	4,196167e-05	-0,02382892	-1,7320737e-05	1,995638e-05	-6,9990754e-05
41613	28,223633	-1,4564453	-0,96728837	0	-0,00014258549	3,025031e-05	1,0344266e-05	4,8875809e-05	3,1530857e-05	-0,023873407	-0,00012196042	-2,5823712e-05	-4,5508146e-05
41613	28,323242	-1,6457031	-1,0568165	0	-0,0010802411	-4,2124469e-05	-2,8025745e-05	-5,6147575e-05	-4,2200089e-05	-0,023894355	-0,00021427311	7,8082085e-06	-8,8080764e-05
41613	28,422852	-1,8349609	-1,2851245	0	-0,0025960617	-0,00030124246	-4,0294526e-05	-0,00045621395	-0,00040721893	-0,024048751	-0,0004070662	-0,00020341575	-0,00019232929
41613	28,522461	-2,0242188	-1,5879403	0	-0,0043986365	-0,0011046876	-0,00042597929	-0,0018196106	-0,0010684729	-0,024133559	-0,00061234646	-0,00027713925	-0,00029309094
41613	28,62207	-2,2134767	-1,8552821	0	-0,0067614019	-0,0021094675	-0,00118929	-0,0033355951	-0,0018035173	-0,024236288	-0,00078022666	-0,00047529116	-0,0003708452
41613	28,72168	-2,4027343	-2,1929555	0	-0,0084913336	-0,0034698306	-0,0022672587	-0,005376339	-0,0027658939	-0,024376236	-0,0010287352	-0,00057694688	-0,00057007372
41613	28,821289	-2,5919921	-2,4495609	0	-0,0103564	-0,0045073703	-0,0031498291	-0,006888032	-0,0034842491	-0,024476955	-0,0012572315	-0,00073128939	-0,00061169267
41613	28,920898	-2,78125	-2,6836748	0	-0,011646282	-0,0053551178	-0,0039018933	-0,0081585646	-0,0040048957	-0,02457883	-0,0014903881	-0,00079398975	-0,00076897442
41613	29,020508	-2,9705079	-2,8931518	0	-0,013401639	-0,0062742098	-0,0046397643	-0,009485364	-0,0046975017	-0,024664855	-0,0016493313	-0,00092463195	-0,00080889463
41613	29,120117	-3,1597655	-3,1180866	0	-0,014800578	-0,0071621677	-0,0053974218	-0,010656953	-0,0054321289	-0,024733465	-0,0017782971	-0,0010033213	-0,00088685751
41613	29,219727	-3,3490233	-3,3724551	0	-0,01624031	-0,0079954863	-0,0061478019	-0,012025118	-0,005813539	-0,024888461	-0,0019920338	-0,0011271611	-0,0010461211
41613	29,319336	-3,5382812	-3,5053008	0	-0,017161574	-0,0085994173	-0,0067747128	-0,01290834	-0,0061151981	-0,024961656	-0,0021201968	-0,0012800582	-0,001112923
41613	29,418945	-3,7275391	-3,7074983	0	-0,01856247	-0,0092171635	-0,0073239813	-0,013877153	-0,0064503551	-0,025021331	-0,0022897273	-0,0012574308	-0,0011605918
41613	29,518555	-3,9167969	-3,8168597	0	-0,018830318	-0,0097168228	-0,0077563352	-0,014669895	-0,0067242384	-0,025068473	-0,0023131743	-0,001356978	-0,0012256652
41613	29,618164	-4,1060548	-3,8813577	0	-0,020047557	-0,0099815363	-0,0080334656	-0,015056968	-0,0068541765	-0,025111366	-0,0024335645	-0,0013974234	-0,0013034642
41613	29,717773	-4,2953124	-3,8896017	0	-0,019861478	-0,010250914	-0,0082620019	-0,015513062	-0,0069776773	-0,025111564	-0,0024732016	-0,0014046691	-0,0013630092
41613	29,817383	-4,4845705	-3,8525314	0	-0,019368716	-0,010240969	-0,0082583334	-0,015492678	-0,0069718957	-0,025068551	-0,0024167318	-0,0013677329	-0,0013019443
41613	29,916992	-4,6738281	-3,8773344	0	-0,019631162	-0,010270222	-0,0083142044	-0,015524745	-0,0069717169	-0,025042558	-0,002446197	-0,0013397112	-0,0013670921
41613	30,016602	-4,8630857	-3,8960576	0	-0,019847509	-0,010312712	-0,0083647827	-0,015572667	-0,0070006847	-0,02510524	-0,0024547167	-0,0013839118	-0,0013434738
41613	30,116211	-5,0523438	-3,9341078	0	-0,019935146	-0,010329482	-0,0083787357	-0,015637755	-0,0069719553	-0,025157714	-0,0025092587	-0,0014372319	-0,0013409108
41613	30,21582	-5,2416015	-4,1022692	0	-0,021045562	-0,010628268	-0,008521691	-0,01619184	-0,0071712732	-0,025193725	-0,0026285257	-0,0015130788	-0,0014378577
41613	30,31543	-5,4308591	-4,2527113	0	-0,022168458	-0,011020352	-0,0086903265	-0,016867757	-0,0075029731	-0,025288776	-0,0027997289	-0,0016003996	-0,0015120953
41613	30,415039	-5,6201172	-4,7372503	0	-0,024336018	-0,012321555	-0,009590338	-0,018748045	-0,0086262822	-0,025482407	-0,003111545	-0,0018459298	-0,0017197877
41613	30,514648	-5,8093748	-5,261261	0	-0,027402584	-0,013943434	-0,011119605	-0,020905733	-0,0098049641	-0,025702683	-0,0034578927	-0,0020983629	-0,0019855052
41613	30,614258	-5,9986329	-6,1011353	0	-0,032339711	-0,016770385	-0,013806949	-0,024541974	-0,011962235	-0,026043177	-0,0041544288	-0,0025341958	-0,0024077594
