Datum : 	27.8.2014
Durchmesser :	48,5
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41878	152,35059	-1,4980469	-1,4232602	-0,0032871962	-0,00037641451	-0,00036692619	-0,0005665794
41878	152,85059	-1,9980469	-1,4107283	-0,0042229891	-0,00032662228	-0,00037998334	-0,00063036848
41878	153,35059	-2,4980469	-2,4754553	-0,012010336	-0,0010462385	-0,0014461055	-0,0021446305
41878	153,85059	-2,9980469	-3,1412504	-0,017338991	-0,0015960243	-0,0022115745	-0,0030110097
41878	154,35059	-3,4980469	-3,6763604	-0,019684434	-0,0019859374	-0,002719108	-0,0036618691
41878	154,85059	-3,9980469	-4,2142644	-0,0243783	-0,0024291463	-0,0034314618	-0,0043794448
41878	155,35059	-4,4980469	-4,6656075	-0,026354194	-0,0029160883	-0,0039557144	-0,0049297959
41878	155,85059	-4,9980469	-5,1252022	-0,03041923	-0,0032867566	-0,0044735558	-0,0055262027
41878	156,35059	-5,4980469	-5,5491905	-0,034224987	-0,0036061835	-0,0049958788	-0,0061252583
41878	156,85059	-5,9980469	-6,0287023	-0,037401915	-0,0040041748	-0,005481977	-0,0066279992
41878	157,35059	-6,4980469	-6,4858756	-0,039023161	-0,004416028	-0,0061280839	-0,0072216038
41878	157,85059	-6,9980469	-7,0025024	-0,043401122	-0,0048602168	-0,0067158714	-0,0079297572
41878	158,35059	-7,4980469	-7,5142493	-0,045108795	-0,0054132733	-0,0072935037	-0,0084929382
41878	158,85059	-7,9980469	-8,0804501	-0,048783422	-0,0058386289	-0,0079981163	-0,0091649517
41878	159,35059	-8,4980469	-8,595048	-0,051787496	-0,0063495077	-0,008605089	-0,0097905388
41878	159,85059	-8,9980469	-9,0501337	-0,054469705	-0,0067768805	-0,0091824159	-0,010393015
41878	160,35059	-9,4980469	-9,5085506	-0,057193637	-0,0071711671	-0,0097173154	-0,010921479
41878	160,85059	-9,9980469	-9,9648981	-0,060525537	-0,0076306462	-0,010315131	-0,011536238
41878	161,35059	-10,498047	-10,483722	-0,063282251	-0,0081610959	-0,010877956	-0,012100459
41878	161,85059	-10,998047	-10,98319	-0,066846609	-0,0086761564	-0,011510424	-0,012635366
41878	162,35059	-11,498047	-11,523343	-0,068426132	-0,0092166439	-0,012092177	-0,013310808
41878	162,85059	-11,998047	-12,066466	-0,071027875	-0,009799635	-0,012743562	-0,013917345
41878	163,35059	-12,498047	-12,568054	-0,072401762	-0,010325234	-0,013346631	-0,014450771
41878	163,85059	-12,998047	-13,071795	-0,076493621	-0,010810189	-0,013918243	-0,0151048
41878	164,35059	-13,498047	-13,60329	-0,078630447	-0,011425154	-0,014520273	-0,015728902
41878	164,85059	-13,998047	-14,092572	-0,080621243	-0,011936987	-0,015066624	-0,016290303
41878	165,35059	-14,498047	-14,556635	-0,082731247	-0,012461644	-0,015684519	-0,016870126
41878	165,85059	-14,998047	-15,012673	-0,086161494	-0,012970675	-0,016288769	-0,01744036
41878	166,35059	-15,498047	-15,461702	-0,086641312	-0,013366994	-0,01672731	-0,017885815
41878	166,85059	-15,998047	-15,973392	-0,08983314	-0,013920373	-0,017348077	-0,018450011
41878	167,35059	-16,498047	-16,538612	-0,092858076	-0,014599843	-0,01795974	-0,019101471
41878	167,85059	-16,998047	-17,043421	-0,093790889	-0,015186472	-0,018559258	-0,019726153
41878	168,35059	-17,498047	-17,553339	-0,096607208	-0,015642375	-0,019150306	-0,020349234
41878	168,85059	-17,998047	-18,06395	-0,098985434	-0,01619019	-0,019819017	-0,021085449
41878	169,35059	-18,498047	-18,568644	-0,10199547	-0,016832434	-0,020331588	-0,021492574
41878	169,85059	-18,998047	-19,05245	-0,10406375	-0,017376076	-0,020930108	-0,022146169
41878	170,35059	-19,498047	-19,539026	-0,10674	-0,01783677	-0,021542255	-0,022601914
41878	170,85059	-19,998047	-20,021057	-0,10849833	-0,018466353	-0,022125516	-0,023150057
41878	171,35059	-20,498047	-20,502533	-0,10948479	-0,018978722	-0,022677954	-0,023683261
