Datum : 	25.3.2014
Durchmesser :	98,6
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41723	22,390625	-1,9048828	-1,895586	-0,015592575	0,69229954	0,0041814893	0,0043240716
41723	22,890625	-1,8048828	-1,7984231	-0,01488477	0,69229698	0,0042939782	0,0043421704
41723	23,390625	-1,7048829	-1,6857796	-0,013715029	0,69237912	0,0042963624	0,0045579583
41723	23,890625	-1,6048828	-1,6051401	-0,013613701	0,69239968	0,0042673051	0,0044641634
41723	24,390625	-1,5048828	-1,5026275	-0,012631714	0,69242471	0,0043347925	0,0044403854
41723	24,890625	-1,4048828	-1,4052428	-0,011822581	0,69246715	0,0043168962	0,0046065804
41723	25,390625	-1,3048828	-1,3065226	-0,012034178	0,69251454	0,0044082552	0,0045544715
41723	25,890625	-1,2048829	-1,1999272	-0,01091361	0,69253898	0,0044310391	0,004629977
41723	26,390625	-1,1048828	-1,1094044	-0,010463595	0,69255489	0,0044213235	0,0046524596
41723	26,890625	-1,0048828	-1,0148957	-0,0094532967	0,6926651	0,0044569671	0,0046856408
41723	27,390625	-1	-0,99919736	-0,0091418624	0,6926772	0,0045274347	0,00471714
41723	27,890625	-1	-0,99243039	-0,0092595816	0,69263089	0,0044371784	0,0046685641
41723	28,390625	-1	-0,99505669	-0,0090956688	0,69269741	0,0044935644	0,0046211802
41723	28,890625	-1	-0,97415036	-0,0090092421	0,69268996	0,0045585036	0,0047136396
41723	29,390625	-1	-0,99943578	-0,0092312694	0,69266844	0,0045541078	0,0046772468
41723	29,890625	-1	-0,97425097	-0,0091046095	0,69270343	0,0046076179	0,0046406887
41723	30,390625	-1	-0,99721366	-0,0089645386	0,69270527	0,0045528859	0,0046726856
41723	30,890625	-1	-0,99202806	-0,0094383955	0,69268274	0,0046326518	0,0046189288
41723	31,390625	-1	-1,001671	-0,0094100833	0,6926946	0,0046435744	0,0046253111
41723	31,890625	-1	-1,001874	-0,0084936619	0,69268751	0,0046253055	0,0047696973
41723	32,390625	-2,7481446	-2,6434474	-0,0077530742	-0,00072133914	-0,00049206614	-0,0005372403
41723	32,890625	-4,6981444	-4,5849943	-0,016833842	-0,0014547799	-0,0011024922	-0,00093732006
41723	33,390625	-6,6481447	-5,9151397	-0,022706389	-0,0019903313	-0,00152044	-0,0013613368
41723	33,890625	-8,5981445	-8,5593433	-0,033634901	-0,0029777419	-0,0023110956	-0,002090924
41723	34,390625	-10,548144	-10,463185	-0,041584671	-0,0037377961	-0,002993077	-0,0026225233
41723	34,890625	-12,498145	-12,671001	-0,049518049	-0,0046139602	-0,0037595779	-0,0033850367
41723	35,390625	-14,448145	-14,728386	-0,057339668	-0,0054116994	-0,0043934286	-0,0038667775
41723	35,890625	-16,398146	-16,634117	-0,063970685	-0,0061819255	-0,0051567703	-0,0045439182
41723	36,390625	-18,348145	-18,537121	-0,070375204	-0,0069094449	-0,005810976	-0,0051998445
41723	36,890625	-20,298145	-20,441145	-0,076755881	-0,0076436494	-0,0066082329	-0,0058329916
41723	37,390625	-22,248144	-22,371063	-0,083303452	-0,0083317347	-0,0072480887	-0,0064624301
41723	37,890625	-24,198145	-24,3148	-0,089097023	-0,0091072731	-0,0079302639	-0,0071534985
41723	38,390625	-26,148146	-26,256605	-0,095440447	-0,0098202545	-0,0087202042	-0,0076978728
