Datum : 	27.8.2014
Durchmesser :	47,84
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41878	49,041016	-1,4980469	-1,3665613	-0,0028133392	-8,9965761e-05	-0,00085926056	-0,0001541013
41878	49,541016	-1,9980469	-1,5627872	-0,0058859587	-0,0001169499	-0,0013561249	-0,00033562814
41878	50,041016	-2,4980469	-2,5869682	-0,012591481	-0,00075280108	-0,0031148195	-0,00096489093
41878	50,541016	-2,9980469	-3,1290519	-0,018796325	-0,0011364277	-0,0041205287	-0,001528505
41878	51,041016	-3,4980469	-3,6063139	-0,021183491	-0,0014708973	-0,0049241185	-0,0019312282
41878	51,541016	-3,9980469	-4,0596986	-0,026988983	-0,0018394738	-0,0057539344	-0,002199817
41878	52,041016	-4,4980469	-4,6339836	-0,029155612	-0,0024112929	-0,0067167282	-0,0027067692
41878	52,541016	-4,9980469	-5,1542931	-0,034958124	-0,0027774032	-0,0075012445	-0,0030891353
41878	53,041016	-5,4980469	-5,6572313	-0,037389994	-0,0032510404	-0,0083218217	-0,0035728374
41878	53,541016	-5,9980469	-6,1050301	-0,041130185	-0,0036014058	-0,0090897679	-0,0039517866
41878	54,041016	-6,4980469	-6,6362209	-0,043529272	-0,0040701255	-0,0099021196	-0,0044812635
41878	54,541016	-6,9980469	-7,0576949	-0,046256185	-0,0044691432	-0,010598958	-0,0048962981
41878	55,041016	-7,4980469	-7,555171	-0,049677491	-0,0049659908	-0,011350513	-0,0052559311
41878	55,541016	-7,9980469	-8,0300989	-0,053617358	-0,0053609842	-0,012050331	-0,0057569379
41878	56,041016	-8,4980469	-8,5380697	-0,056374073	-0,0059195012	-0,012765527	-0,0062105893
41878	56,541016	-8,9980469	-8,9748783	-0,059223175	-0,0063101025	-0,013508737	-0,0066841184
41878	57,041016	-9,4980469	-9,5104914	-0,062480569	-0,0068528214	-0,014252663	-0,0071436968
41878	57,541016	-9,9980469	-9,9739599	-0,064969063	-0,0073337071	-0,014953017	-0,0076539693
41878	58,041016	-10,498047	-10,502917	-0,068062544	-0,007882257	-0,015671551	-0,0081823198
41878	58,541016	-10,998047	-10,949103	-0,070819259	-0,0083435047	-0,016333103	-0,0086333426
41878	59,041016	-11,498047	-11,489983	-0,073179603	-0,0089289704	-0,017086506	-0,0093038706
41878	59,541016	-11,998047	-11,957661	-0,075939298	-0,0093034655	-0,017708361	-0,0097238794
41878	60,041016	-12,498047	-12,470818	-0,078651309	-0,0099988123	-0,018402666	-0,010345234
41878	60,541016	-12,998047	-12,959428	-0,081551075	-0,01049044	-0,019061357	-0,010764975
41878	61,041016	-13,498047	-13,480489	-0,084793568	-0,011095678	-0,019756526	-0,011438061
41878	61,541016	-13,998047	-14,012074	-0,086024404	-0,011655067	-0,02039516	-0,011910761
41878	62,041016	-14,498047	-14,490078	-0,08995533	-0,012224	-0,021104842	-0,012566145
41878	62,541016	-14,998047	-15,030053	-0,091895461	-0,012803171	-0,021724254	-0,013035825
41878	63,041016	-15,498047	-15,490409	-0,095027685	-0,013272321	-0,02241978	-0,013643456
41878	63,541016	-15,998047	-16,038273	-0,096318126	-0,013963504	-0,023087114	-0,014237105
41878	64,041016	-16,498047	-16,510166	-0,0993222	-0,01452099	-0,023787618	-0,01477097
41878	64,541016	-16,998047	-17,025372	-0,10123551	-0,01512407	-0,024467766	-0,015317922
41878	65,041016	-17,498047	-17,512745	-0,10326207	-0,015740408	-0,0250386	-0,016026892
41878	65,541016	-17,998047	-18,029634	-0,10710955	-0,016252771	-0,025767207	-0,016524401
41878	66,041016	-18,498047	-18,551315	-0,10874271	-0,016866252	-0,026416063	-0,017101318
41878	66,541016	-18,998047	-19,02264	-0,11053085	-0,017476603	-0,027041733	-0,017719895
41878	67,041016	-19,498047	-19,53451	-0,11322796	-0,018014703	-0,027638912	-0,01833405
41878	67,541016	-19,998047	-20,023205	-0,11507571	-0,018546224	-0,028341025	-0,018910671
41878	68,041016	-20,498047	-20,518929	-0,11836886	-0,019167932	-0,028948814	-0,01947243
41878	68,541016	-20,998047	-20,967085	-0,11920035	-0,019723265	-0,029550761	-0,02004016
41878	69,041016	-21,498047	-21,524128	-0,12069345	-0,020309303	-0,030194014	-0,020561609
41878	69,541016	-21,998047	-21,978722	-0,12453496	-0,020917932	-0,030874729	-0,021213349
41878	70,041016	-22,498047	-22,498709	-0,12701452	-0,021499565	-0,03152138	-0,021774907
41878	70,541016	-22,998047	-22,975357	-0,12949109	-0,022112973	-0,032243937	-0,022318896
41878	71,041016	-23,498047	-23,455008	-0,13169944	-0,02260571	-0,032617092	-0,022908738
41878	71,541016	-23,998047	-23,976692	-0,13293922	-0,023295242	-0,033400953	-0,023544481
41878	72,041016	-24,498047	-24,468256	-0,13521016	-0,023885492	-0,033973426	-0,024219159
41878	72,541016	-24,998047	-24,993834	-0,13836026	-0,024453158	-0,03469798	-0,024745323
41878	73,041016	-25,498047	-25,446285	-0,13979077	-0,024984105	-0,035350055	-0,025360873
41878	73,541016	-25,998047	-25,985201	-0,1424402	-0,025719997	-0,036002606	-0,02607313
41878	74,041016	-26,498047	-26,444267	-0,1452148	-0,026253654	-0,036543548	-0,026627148
41878	74,541016	-26,998047	-26,990278	-0,14705062	-0,026888538	-0,037250429	-0,027221464
41878	75,041016	-27,498047	-27,45557	-0,14939904	-0,027383735	-0,037864149	-0,027857278
41878	75,541016	-27,998047	-27,998377	-0,15152395	-0,028107436	-0,038606137	-0,028586168
41878	76,041016	-28,498047	-28,443871	-0,15457571	-0,028727889	-0,039191902	-0,029052136
41878	76,541016	-28,998047	-29,012732	-0,1565069	-0,029396053	-0,039839089	-0,02977857
41878	77,041016	-29,498047	-29,459171	-0,15897751	-0,029824035	-0,040417463	-0,030327259
41878	77,541016	-29,998047	-30,014317	-0,16100109	-0,030557968	-0,041174233	-0,030961543
41878	78,041016	-30,498047	-30,504431	-0,16283393	-0,03108686	-0,041761905	-0,031552691
41878	78,541016	-30,998047	-31,028627	-0,16456544	-0,031858567	-0,042490065	-0,032235421
41878	79,041016	-31,498047	-31,51602	-0,16792119	-0,032402694	-0,043021083	-0,032917503
41878	79,541016	-31,998047	-32,053772	-0,16985536	-0,033032101	-0,043689102	-0,033481397
41878	80,041016	-32,498047	-32,541321	-0,17161071	-0,033549696	-0,04436034	-0,034167897
41878	80,541016	-32,998047	-33,040611	-0,17466545	-0,0342976	-0,045049846	-0,034734618
41878	81,041016	-33,498047	-33,551147	-0,17598271	-0,034924638	-0,045733064	-0,035470054
41878	81,541016	-33,998047	-34,012711	-0,17901957	-0,035486173	-0,046291411	-0,036006905
41878	82,041016	-34,498047	-34,577732	-0,17921925	-0,036179669	-0,046963304	-0,036709655
41878	82,541016	-34,998047	-35,050648	-0,18294454	-0,036735423	-0,047632903	-0,037407268
41878	83,041016	-35,498047	-35,586891	-0,18513799	-0,037441075	-0,048219234	-0,037972827
41878	83,541016	-35,998047	-35,985672	-0,18685758	-0,037910614	-0,048734188	-0,038495719
41878	84,041016	-36,498047	-36,518917	-0,18855631	-0,038553014	-0,049507916	-0,039142653
41878	84,541016	-36,998047	-36,986694	-0,18994212	-0,039149962	-0,050100267	-0,039755095
41878	85,041016	-37,498047	-37,482162	-0,19294322	-0,039837074	-0,050681084	-0,040350597
41878	85,541016	-37,998047	-37,971405	-0,19515753	-0,040466998	-0,051389426	-0,041115843
41878	86,041016	-38,498047	-38,458889	-0,1968503	-0,041040331	-0,051941305	-0,041677956
41878	86,541016	-38,998047	-38,986286	-0,19873381	-0,04175587	-0,052585274	-0,042259157
41878	87,041016	-39,498047	-39,486969	-0,20187795	-0,042330377	-0,053274274	-0,043037623
41878	87,541016	-39,998047	-39,999931	-0,20365715	-0,043032542	-0,053953111	-0,043673076
41878	88,041016	-39,506836	-39,595646	-0,20296276	-0,042624474	-0,053672552	-0,043229152
41878	88,541016	-39,006836	-39,008526	-0,20053685	-0,042027012	-0,052971095	-0,042563953
41878	89,041016	-38,506836	-38,466198	-0,19872189	-0,04143066	-0,052373171	-0,042010158
41878	89,541016	-38,006836	-37,979057	-0,19754469	-0,040806897	-0,051891834	-0,041448802
41878	90,041016	-37,506836	-37,471432	-0,19515157	-0,040288419	-0,051313579	-0,040874302
41878	90,541016	-37,006836	-37,011143	-0,19343793	-0,039758906	-0,05078575	-0,040366616
41878	91,041016	-36,506836	-36,479607	-0,19162595	-0,039183453	-0,050219893	-0,039804347
41878	91,541016	-36,006836	-36,013718	-0,18983781	-0,038752213	-0,049571186	-0,039217457
41878	92,041016	-35,506836	-35,468689	-0,18873513	-0,038092695	-0,049028397	-0,038598549
41878	92,541016	-35,006836	-35,026684	-0,18685758	-0,037569501	-0,048538119	-0,038105361
41878	93,041016	-34,506836	-34,478863	-0,18452108	-0,036941487	-0,047993779	-0,037517104
41878	93,541016	-34,006836	-34,027714	-0,18372536	-0,03647403	-0,047386616	-0,036940221
41878	94,041016	-33,506836	-33,520329	-0,18168986	-0,035866521	-0,046867073	-0,036450464
41878	94,541016	-33,006836	-33,016247	-0,17935634	-0,035368115	-0,04630205	-0,03586816
41878	95,041016	-32,506836	-32,605049	-0,17772913	-0,034895219	-0,045831263	-0,035375383
41878	95,541016	-32,006836	-32,057701	-0,17547607	-0,034247536	-0,045131236	-0,034758218
41878	96,041016	-31,506836	-31,602833	-0,17379522	-0,033729739	-0,044664681	-0,034146402
41878	96,541016	-31,006836	-31,058933	-0,17310381	-0,033145897	-0,044022441	-0,033673339
41878	97,041016	-30,506836	-30,573736	-0,17008781	-0,032622691	-0,043445557	-0,032900166
41878	97,541016	-30,006836	-30,040508	-0,16819835	-0,031949207	-0,042792678	-0,032494903
41878	98,041016	-29,506836	-29,559309	-0,16624331	-0,03138547	-0,042240202	-0,031852104
41878	98,541016	-29,006836	-29,028635	-0,16431808	-0,030877752	-0,041617274	-0,031202506
41878	99,041016	-28,506836	-28,522379	-0,16286075	-0,030261412	-0,041077465	-0,030714534
41878	99,541016	-28,006836	-28,020796	-0,16054511	-0,029573303	-0,040465295	-0,030009512
41878	100,04102	-27,506836	-27,517506	-0,15822649	-0,029043514	-0,039839387	-0,029483341
41878	100,54102	-27,006836	-27,017065	-0,15629232	-0,028552312	-0,039270341	-0,028801261
41878	101,04102	-26,506836	-26,48337	-0,15396476	-0,027838064	-0,038649589	-0,028372256
41878	101,54102	-26,006836	-25,993923	-0,15307069	-0,027283465	-0,038103044	-0,027696174
41878	102,04102	-25,506836	-25,480837	-0,15020072	-0,026699074	-0,037450045	-0,027034823
41878	102,54102	-25,006836	-24,96804	-0,14815331	-0,026140347	-0,036834329	-0,026429648
41878	103,04102	-24,506836	-24,477713	-0,14680624	-0,025557946	-0,036301017	-0,025926253
41878	103,54102	-24,006836	-23,967716	-0,14439523	-0,024984635	-0,035677761	-0,025289565
41878	104,04102	-23,506836	-23,483786	-0,14198124	-0,024457283	-0,035091251	-0,024745904
41878	104,54102	-23,006836	-22,95001	-0,13961196	-0,023845643	-0,034516454	-0,024188112
41878	105,04102	-22,506836	-22,500324	-0,13907254	-0,023385501	-0,033892035	-0,023553109
41878	105,54102	-22,006836	-21,950218	-0,13659894	-0,02268159	-0,033256531	-0,022930665
41878	106,04102	-21,506836	-21,518494	-0,13451278	-0,022294605	-0,032669723	-0,022331787
41878	106,54102	-21,006836	-20,977306	-0,13186336	-0,021490814	-0,032051414	-0,021823939
41878	107,04102	-20,506836	-20,497034	-0,12985468	-0,021069549	-0,031406879	-0,021295937
41878	107,54102	-20,006836	-19,996634	-0,12726486	-0,020427261	-0,030970514	-0,020673903
41878	108,04102	-19,506836	-19,52845	-0,12583435	-0,019984834	-0,030242264	-0,020068232
41878	108,54102	-19,006836	-19,021132	-0,12298524	-0,019273169	-0,029672772	-0,019554691
41878	109,04102	-18,506836	-18,54077	-0,12035072	-0,018845931	-0,029069871	-0,018906221
41878	109,54102	-18,006836	-18,040434	-0,11795163	-0,018276898	-0,02840361	-0,01825312
41878	110,04102	-17,506836	-17,559074	-0,11608601	-0,017701132	-0,027923793	-0,017729454
41878	110,54102	-17,006836	-17,027737	-0,11394024	-0,017104067	-0,027152658	-0,017135244
41878	111,04102	-16,506836	-16,556257	-0,11270642	-0,016568471	-0,026563644	-0,016593084
41878	111,54102	-16,006836	-16,032404	-0,1090318	-0,015963443	-0,025904357	-0,016018828
41878	112,04102	-15,506836	-15,549194	-0,10745525	-0,015487421	-0,025281727	-0,015352759
41878	112,54102	-15,006836	-15,018117	-0,10375977	-0,014842927	-0,024608105	-0,014712918
41878	113,04102	-14,506836	-14,543579	-0,10158718	-0,014303479	-0,023943126	-0,014077025
41878	113,54102	-14,006836	-14,005279	-0,10017157	-0,013702033	-0,02332896	-0,013585645
