Datum : 	05.12.2013
Durchmesser :	69,2
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	34,52832	-7,1323242	-7,3471518	0	-0,043865666	-0,025022412	-0,016493451	-0,036024094	-0,022549689	-0,026849676	-0,0020668069	-0,006514227	-0,0044017285
41613	34,62793	-7,3215818	-7,4806643	0	-0,044534542	-0,025516437	-0,016855441	-0,03661108	-0,023082793	-0,026929416	-0,0021284325	-0,0066395672	-0,0044794343
41613	34,727539	-7,5108399	-7,6199565	0	-0,045687892	-0,025970455	-0,01722597	-0,037113428	-0,023571968	-0,027004911	-0,0021540844	-0,006717247	-0,004534319
41613	34,827148	-7,7000976	-7,8180246	0	-0,046715513	-0,026655069	-0,017785283	-0,03785634	-0,024323583	-0,027088029	-0,0023014094	-0,0068496494	-0,0047433432
41613	34,926758	-7,8893552	-8,0736284	0	-0,047790632	-0,027338451	-0,018378213	-0,038573027	-0,025064111	-0,027199592	-0,0024053231	-0,0070574088	-0,0048603788
41613	35,026367	-8,0786133	-8,1596088	0	-0,048808753	-0,027747095	-0,018764259	-0,038997412	-0,025479615	-0,02727738	-0,0024671932	-0,0072157327	-0,0049236789
41613	35,125977	-8,2678709	-8,3174925	0	-0,049654208	-0,028383622	-0,01930204	-0,039646387	-0,02620244	-0,027341807	-0,0025205268	-0,0073558725	-0,0050147381
41613	35,225586	-8,4571285	-8,4402084	0	-0,050364062	-0,028846459	-0,019705286	-0,040119767	-0,026714325	-0,027319776	-0,0025522683	-0,0074765254	-0,0051419865
41613	35,325195	-8,6463861	-8,5890141	0	-0,050953776	-0,029299803	-0,02010306	-0,040568233	-0,027228117	-0,027448414	-0,0026892372	-0,0075781466	-0,0052477214
41613	35,424805	-8,8356447	-8,8202858	0	-0,052262098	-0,030080676	-0,020802138	-0,041364789	-0,028075099	-0,027506245	-0,0027547453	-0,0077542122	-0,0054794084
41613	35,524414	-9,0249023	-9,0266523	0	-0,053685158	-0,030801222	-0,021498874	-0,042046905	-0,028857887	-0,027623821	-0,0028407178	-0,0079418318	-0,005604865
41613	35,624023	-9,21416	-9,3645802	0	-0,055382401	-0,031793609	-0,022438036	-0,043007016	-0,029935777	-0,027803309	-0,0030756877	-0,0082388632	-0,0058230571
41613	35,723633	-9,4034176	-9,563323	0	-0,056239031	-0,032685705	-0,023344243	-0,043841958	-0,030870914	-0,027892884	-0,0031826147	-0,0084284684	-0,0060003661
41613	35,823242	-9,5926752	-9,7871189	0	-0,057570264	-0,033387128	-0,024018124	-0,044478893	-0,031664371	-0,028018963	-0,0032788762	-0,0086590266	-0,0061540212
